,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
71,2019-08-19,87.709999,88.480003,84.620003,85.029999,83.637924,7704400,2.0228155006799424
72,2019-08-26,85.779999,88.209999,84.989998,87.949997,86.510124,10049200,1.9667993394019105
73,2019-09-02,87.620003,89.93,86.970001,89.779999,88.53421800000001,9970800,1.9796168186635867
74,2019-09-09,89.660004,89.809998,84.459999,86.93,85.72377,13088500,2.032784987921316
75,2019-09-16,86.559998,88.410004,86.510002,87.400002,86.187241,17643800,1.9946224028690527
76,2019-09-23,87.379997,87.970001,85.709999,85.93,84.73764,13011300,2.017106970790178
77,2019-09-30,86.150002,87.940002,83.480003,86.639999,85.437782,11354100,1.9918051822692195
78,2019-10-07,86.230003,89.0,84.68,88.029999,86.808495,10892100,1.9842099282541172
79,2019-10-14,88.0,88.309998,86.370003,87.989998,86.769058,8582600,2.0004546084885693
80,2019-10-21,88.480003,89.099998,75.66999799999999,77.279999,76.20766400000001,28657800,2.1385869453750894
81,2019-10-28,77.349998,78.91999799999999,76.230003,77.910004,76.828934,21296600,1.9919136828692756
82,2019-11-04,78.209999,78.66999799999999,77.110001,78.510002,77.420601,15451900,1.9923576871135475
83,2019-11-11,78.32,81.510002,78.199997,81.440002,80.309952,15542600,1.9640225942037672
84,2019-11-18,81.239998,82.43,80.739998,82.019997,80.881889,13434100,1.992928614713312
85,2019-11-25,82.540001,82.870003,81.75,81.970001,80.832581,8279100,2.0006099304549236
86,2019-12-02,82.099998,83.529999,80.519997,83.16999799999999,82.015938,8975400,1.9855717562960624
87,2019-12-09,83.129997,84.040001,80.629997,83.959999,83.016541,13284300,1.9905907454810714
88,2019-12-16,84.519997,84.690002,81.279999,82.489998,81.563057,16987300,2.017820354414362
89,2019-12-23,82.790001,84.910004,82.5,84.050003,83.10553,4466900,1.9814395604483204
90,2019-12-30,84.099998,85.870003,83.07,85.5,84.539238,6988500,1.983040970760234
