Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-January-2017,197.00,198.60,195.85,197.00,197.256700842791737587,871271,4530,171864043.00,569450,65.36,2.75,0.00
10-January-2017,186.80,195.90,186.80,194.65,193.671768403554905014,705054,5297,136549055.00,495986,70.35,9.10,7.85
9-January-2017,189.80,189.80,185.20,186.45,187.219071675743550059,205467,2788,38467341.00,49940,24.31,4.60,-3.35
6-January-2017,194.80,194.80,186.00,188.70,189.602212344165133864,430584,4873,81639679.00,43334,10.06,8.80,-6.10
5-January-2017,185.70,188.50,185.70,187.75,187.038941813140122545,223590,1868,41820037.00,42713,19.10,2.80,2.05
4-January-2017,187.70,189.35,184.50,185.30,186.606699025945151491,213643,2678,39867215.00,28724,13.44,4.85,-2.40
3-January-2017,187.70,188.20,185.50,187.25,186.962846116377533815,133445,1683,24949257.00,17634,13.21,2.70,-0.45
2-January-2017,186.15,187.90,183.90,186.25,186.056855244855868386,166792,1791,31032795.00,19771,11.85,4.00,0.10
30-December-2016,185.85,186.70,183.80,184.95,185.304908598510494245,147700,1454,27369535.00,17347,11.74,2.90,-0.90
29-December-2016,184.35,186.00,182.60,185.30,184.548379258395295718,123462,1460,22784712.00,12698,10.28,3.40,0.95
28-December-2016,188.60,188.60,182.55,183.20,184.347567898000174657,263373,2484,48552172.00,39017,14.81,6.05,-5.40
27-December-2016,185.00,188.60,179.60,187.90,184.818656381350110083,184859,2315,34165392.00,17181,9.29,9.00,2.90
26-December-2016,188.00,189.20,184.05,185.20,185.488825641414385048,145109,1627,26916098.00,23082,15.91,5.15,-2.80
23-December-2016,188.55,191.35,188.15,189.65,189.903291000488126536,116773,1214,22175577.00,13048,11.17,3.20,1.10
22-December-2016,190.20,191.80,187.75,189.65,189.301662472506786613,151401,1791,28660461.00,13868,9.16,4.05,-0.55
21-December-2016,195.50,195.50,189.80,192.05,191.983039698683768885,443919,5139,85224919.00,19557,4.41,5.70,-3.45
20-December-2016,196.00,197.80,191.95,195.70,195.107189649525057320,158756,1683,30974437.00,12040,7.58,5.85,-0.30
19-December-2016,193.50,196.85,192.00,195.15,194.502575877760614536,119765,2087,23294601.00,13791,11.52,4.85,1.65
16-December-2016,202.15,202.40,193.50,194.55,198.779035264642651842,300953,1923,59823147.00,171522,56.99,8.90,-7.60
15-December-2016,194.20,203.70,194.20,200.20,200.306787585391844414,1617836,4405,324063532.00,1308044,80.85,9.50,6.00
14-December-2016,197.10,198.80,195.10,197.20,196.924717945943021022,73922,1410,14557069.00,17000,23.00,3.70,0.10
13-December-2016,192.30,197.50,192.30,196.90,195.885353262963248324,90853,1889,17796772.00,18232,20.07,5.20,4.60
